"X","country","village","long","lat","n","y"
6214,"TANZANIA","Merera",35.95,-8.633333,40,10
6215,"TANZANIA","Namawala",36.533333,-8.233333,40,14
6216,"TANZANIA","Mbasa",36.183332,-8.383333,40,8
6217,"TANZANIA","Kiberege",36.866666,-7.95,40,16
6218,"TANZANIA","Kidatu",36.95,-7.7,40,8
6219,"TANZANIA","Msolwa St",36.833333,-8.166666,40,12
13980,"TANZANIA","Ikondo",35.308056,-9.310278,43,10
13981,"TANZANIA","Kanikelele",35.431389,-9.245278,45,4
13982,"TANZANIA","Lwanzali",35.505833,-9.493056,58,14
13983,"TANZANIA","Mfiriga",35.366667,-9.670833,30,14
13984,"TANZANIA","Lugolofu",35.421389,-8.831944,30,8
13985,"TANZANIA","Magunguli",35.253056,-8.868611,30,20
13986,"TANZANIA","Idete",35.443611,-8.982222,30,18
13987,"TANZANIA","Ukami",35.8075,-8.616667,30,22
13988,"TANZANIA","Ihimbo",36.126944,-8.64,46,22
14229,"TANZANIA","Kwezitu",38.64212,-5.002593,671,220
14230,"TANZANIA","Kizerui",38.66933,-4.94397,213,213
14231,"TANZANIA","Zirai",38.64991,-4.99622,201,84
14232,"TANZANIA","Misalai",38.64214,-5.02599,324,111
14233,"TANZANIA","Mashewa",38.6677,-5.15729,790,149
14234,"TANZANIA","Vuga-Kigongoi",38.779,-4.80725,719,213
14235,"TANZANIA","Maramba B",38.80445,-4.86693,48,18
14236,"TANZANIA","Matemboni",38.77711,-4.89144,236,74
14237,"TANZANIA","Kilanga",38.70635,-4.91235,1605,538
14238,"TANZANIA","Bosha",38.72926,-4.89107,602,128
14239,"TANZANIA","Magoroto",38.73951,-5.10828,1736,407
14240,"TANZANIA","Kwatango",38.72916,-4.99692,520,191
14241,"TANZANIA","Misozwe",38.77558,-5.06445,813,204
