"X","country","village","long","lat","n","y"
2444,"CAMEROUN","Ekouk",11.33,2.92,25,0
2445,"CAMEROUN","Elom",12.17,2.71,30,2
2446,"CAMEROUN","Mbilemvom",12.15,2.65,47,0
2447,"CAMEROUN","Eyee",11.86,2.78,30,0
2448,"CAMEROUN","Nyazanga",12.05,2.83,30,1
2449,"CAMEROUN","Olounou",12.13,2.81,31,2
2450,"CAMEROUN","Nko?otoun",12.19,3.27,30,0
2451,"CAMEROUN","Biyebe",12.18,3.27,30,0
2452,"CAMEROUN","Ewolombam",12.25,3.34,27,8
2453,"CAMEROUN","Bissombo",12.48,3.27,30,11
2454,"CAMEROUN","Mekas",12.52,3.17,43,17
2455,"CAMEROUN","Mebomo",12.27,3.44,30,2
2456,"CAMEROUN","Mekin",12.4,3.25,30,14
2457,"CAMEROUN","Mvomeka?a",12.26,3.11,50,0
2458,"CAMEROUN","Nlobesse",12.4,3.11,24,16
2459,"CAMEROUN","Ndjikom",12.36,3.06,39,14
2460,"CAMEROUN","Fibot",11.89,3.41,30,0
2461,"CAMEROUN","Bibe",11.82,3.22,43,2
2462,"CAMEROUN","Etoto",11.89,3.26,31,1
2463,"CAMEROUN","Nkaa",12.32,3.07,41,14
2464,"CAMEROUN","Nko",11.78,3.15,30,10
2465,"CAMEROUN","Nkot-Oven",11.05,2.53,25,0
2466,"CAMEROUN","Meyo Nyak",11.3,2.31,28,0
2467,"CAMEROUN","Minsele",11.14,2.35,29,0
2468,"CAMEROUN","Meyo Elie",11.25,2.42,29,0
2469,"CAMEROUN","Assandjik",11.34,2.37,34,1
2470,"CAMEROUN","Meko?meng",11.17,2.25,30,2
2471,"CAMEROUN","Meyo Bibo",10.99,2.2,48,0
2472,"CAMEROUN","Abang Min",11.43,2.32,42,7
2473,"CAMEROUN","Mendjimi",11.31,2.5,41,2
2474,"CAMEROUN","Akame Mes",11.33,2.59,40,2
2475,"CAMEROUN","Mefoup",11.34,2.23,35,9
2476,"CAMEROUN","Meyo Nkou",11.34,2.27,25,2
2477,"CAMEROUN","Ngoazik",11.3,2.29,23,11
2478,"CAMEROUN","Messi Mes",11.49,2.3,38,10
2479,"CAMEROUN","Camiton I",8.966667,5.216667,35,5
2480,"CAMEROUN","BEKUMU II",9.45,5.383333,33,3
2481,"CAMEROUN","Loe/Funge",9.533333,5.2,30,17
2482,"CAMEROUN","Ikondo ko",9.466667,5.25,29,11
2483,"CAMEROUN","Dian Town",9.216667,5.25,30,13
2484,"CAMEROUN","ABOUMADJA",13.327778,4.655556,52,6
